Date,MSCI_World,MSCI_EM
2010-09-17,1568.1045,30.6151
2010-09-20,1594.0555,31.0990
2010-09-21,1596.0527,31.0065
2010-09-22,1586.0709,31.0279
2010-09-23,1576.0891,30.8286
2010-09-24,1586.0709,31.3979
2010-09-27,1583.0765,31.3410
2010-09-28,1590.0632,31.5687
2010-09-29,1590.0632,31.6755
2010-09-30,1590.0632,31.8605
2010-10-01,1585.0729,32.3302
2010-10-04,1572.0970,32.2305
2010-10-05,1594.0555,32.8141
2010-10-06,1610.0270,32.7999
2010-10-07,1609.0281,32.5081
2010-10-08,1611.0250,32.8995
2010-10-11,1618.0116,32.8782
2010-10-12,1623.0028,32.7429
2010-10-13,1643.9637,33.3478
2010-10-14,1628.9917,33.2909
2010-10-15,1620.0084,33.2482
2010-10-18,1637.9741,33.2624
2010-10-19,1638.9734,32.2092
2010-10-20,1638.9734,32.7216
2010-10-21,1654.9437,32.7216
2010-10-22,1657.9382,32.7572
2010-10-25,1664.9252,33.1130
2010-10-26,1638.9734,33.0845
2010-10-27,1628.9917,32.5223
2010-10-28,1627.9934,32.7287
2010-10-29,1621.0063,32.8212
2010-11-01,1624.0007,33.1842
2010-11-02,1638.9734,33.5969
2010-11-03,1627.9934,33.8033
2010-11-04,1651.9491,34.5719
2010-11-05,1657.9382,34.5078
2010-11-08,1658.9365,34.3655
2010-11-09,1673.9088,33.9314
2010-11-10,1649.9528,34.1805
2010-11-11,1640.9696,33.8460
2010-11-12,1631.9863,33.0276
2010-11-15,1640.9696,33.0134
2010-11-16,1623.0028,32.1452
2010-11-17,1625.9968,32.3088
2010-11-18,1646.9584,33.0774
2010-11-19,1644.9618,33.0988
2010-11-22,1639.9709,32.9991
2010-11-23,1621.0063,31.9530
2010-11-24,1640.9696,32.6931
2010-11-26,1645.9606,31.8818
2010-11-29,1628.9917,32.1309
2010-11-30,1624.9988,31.8676
2010-12-01,1657.9382,32.7785
2010-12-02,1687.8831,33.4261
2010-12-03,1679.8976,33.5471
2010-12-06,1681.8939,33.4902
2010-12-07,1682.8922,33.3336
2010-12-08,1673.9088,33.1201
2010-12-09,1684.8883,33.0063
2010-12-10,1687.8831,33.1557
2010-12-13,1694.8699,33.3692
2010-12-14,1707.8461,33.4190
2010-12-15,1716.8293,32.8782
2010-12-16,1710.8406,32.9707
2010-12-17,1721.8202,33.0205
2010-12-20,1719.8237,32.8710
2010-12-21,1741.7830,33.3509
2010-12-22,1754.7594,33.4656
2010-12-23,1753.7610,33.4298
2010-12-29,1759.7499,33.7778
2010-12-30,1758.7516,33.9501
2010-12-31,1745.7755,34.1869
2011-01-04,1750.7665,34.6749
2011-01-05,1764.7408,34.5887
2011-01-06,1759.7499,34.2228
2011-01-07,1743.7798,33.9070
2011-01-10,1733.7980,33.5554
2011-01-11,1749.7684,33.9142
2011-01-12,1756.7556,34.5959
2011-01-13,1750.7665,34.2945
2011-01-14,1747.7723,34.3950
2011-01-18,1749.7684,34.3447
2011-01-19,1741.7830,34.0792
2011-01-20,1731.8015,33.7061
2011-01-21,1734.7965,33.3544
2011-01-24,1742.7815,33.6128
2011-01-25,1755.7573,33.4119
2011-01-26,1762.7443,33.7061
2011-01-27,1761.7465,33.5913
2011-01-28,1752.7632,32.5292
2011-01-31,1729.8052,32.8736
2011-02-01,1750.7665,33.6702
2011-02-02,1751.7649,33.4190
2011-02-03,1748.7703,33.3760
2011-02-04,1757.7539,33.3688
2011-02-07,1770.7297,33.4119
2011-02-08,1777.7170,33.4262
2011-02-09,1772.7257,32.6584
2011-02-10,1765.7390,32.3498
2011-02-11,1779.7133,32.7445
2011-02-14,1783.7054,32.5794
2011-02-15,1772.7257,32.6440
2011-02-16,1790.6929,32.9167
